Point ID,vel_0,vel_1
9239,0.000867286,0.000867286
9240,0.00163893,0.00163893
9241,4.14689e-05,4.14689e-05
9242,7.56581e-05,7.56581e-05
9243,0.000113794,0.000113794
9244,0.000209432,0.000209432
9245,5.17571e-06,5.17571e-06
9246,9.28278e-06,9.28278e-06
9247,1.43847e-05,1.43847e-05
9248,2.59685e-05,2.59685e-05
9249,6.31154e-07,6.31154e-07
9250,1.11621e-06,1.11621e-06
9251,1.76858e-06,1.76858e-06
9252,3.1456e-06,3.1456e-06
9253,7.63564e-08,7.63564e-08
9254,1.33111e-07,1.33111e-07
9255,2.13925e-07,2.13925e-07
9256,3.75372e-07,3.75372e-07
9257,9.44368e-09,9.44368e-09
9258,1.61423e-08,1.61423e-08
9259,2.60186e-08,2.60186e-08
9260,4.49164e-08,4.49164e-08
9261,1.25893e-09,1.25893e-09
9262,2.08633e-09,2.08633e-09
9263,3.31839e-09,3.31839e-09
9264,5.58754e-09,5.58754e-09
9265,1.92624e-10,1.92624e-10
9266,3.05828e-10,3.05828e-10
9267,4.72585e-10,4.72585e-10
9268,7.66125e-10,7.66125e-10
9269,3.46298e-11,3.46298e-11
9270,5.26374e-11,5.26374e-11
9271,7.89553e-11,7.89553e-11
9272,1.22342e-10,1.22342e-10
9273,7.00376e-12,7.00376e-12
9274,1.03122e-11,1.03122e-11
9275,1.52615e-11,1.52615e-11
9276,2.27613e-11,2.27613e-11
9277,1.48761e-12,1.48761e-12
9278,2.15015e-12,2.15015e-12
9279,3.19836e-12,3.19836e-12
9280,4.65575e-12,4.65575e-12
9281,3.15451e-13,3.15451e-13
9282,4.51489e-13,4.51489e-13
9283,6.82856e-13,6.82856e-13
9284,9.80982e-13,9.80982e-13
9285,6.50185e-14,6.50185e-14
9286,9.25689e-14,9.25689e-14
9287,1.43108e-13,1.43108e-13
9288,2.04162e-13,2.04162e-13
9289,1.28712e-14,1.28712e-14
9290,1.82689e-14,1.82689e-14
9291,2.89232e-14,2.89232e-14
9292,4.11032e-14,4.11032e-14
9293,2.43585e-15,2.43585e-15
9294,3.45041e-15,3.45041e-15
9295,5.59609e-15,5.59609e-15
9296,7.93361e-15,7.93361e-15
9297,4.40107e-16,4.40107e-16
9298,6.22483e-16,6.22483e-16
9299,1.03388e-15,1.03388e-15
9300,1.46326e-15,1.46326e-15
9301,7.59321e-17,7.59321e-17
9302,1.07266e-16,1.07266e-16
9303,1.82324e-16,1.82324e-16
9304,2.57702e-16,2.57702e-16
9305,1.25267e-17,1.25267e-17
9306,1.76767e-17,1.76767e-17
9307,3.0712e-17,3.0712e-17
9308,4.33597e-17,4.33597e-17
9309,2.01901e-18,2.01901e-18
9310,2.84615e-18,2.84615e-18
9311,4.96199e-18,4.96199e-18
9312,6.99817e-18,6.99817e-18
9313,5.97473e-19,5.97473e-19
9314,8.41497e-19,8.41497e-19
9315,8.75475e-19,8.75475e-19
9316,1.23342e-18,1.23342e-18
9317,0.000140066,0.000140066
9318,0.000133686,0.000133686
9319,0.000206487,0.000206487
9320,0.00013528,0.00013528
9321,0.000197013,0.000197013
9322,0.000199377,0.000199377
9323,0.000159289,0.000159289
9324,0.000235087,0.000235087
9325,0.00014806,0.00014806
9326,0.000218372,0.000218372
9327,0.000191614,0.000191614
9328,0.000283332,0.000283332
9329,0.000173788,0.000173788
9330,0.000256705,0.000256705
9331,0.000237578,0.000237578
9332,0.00035223,0.00035223
9333,0.000212842,0.000212842
9334,0.00031511,0.00031511
9335,0.000298185,0.000298185
9336,0.000443558,0.000443558
9337,0.000265964,0.000265964
9338,0.000394938,0.000394938
9339,0.000375144,0.000375144
9340,0.000560243,0.000560243
9341,0.000334477,0.000334477
9342,0.00049849,0.00049849
9343,0.000471161,0.000471161
9344,0.000706808,0.000706808
9345,0.000420553,0.000420553
9346,0.00062943,0.00062943
9347,0.000590272,0.000590272
9348,0.000889909,0.000889909
9349,0.000527514,0.000527514
9350,0.000793273,0.000793273
9351,0.000738253,0.000738253
9352,0.00111901,0.00111901
9353,0.00066021,0.00066021
9354,0.000997983,0.000997983
9355,0.000923162,0.000923162
9356,0.00140723,0.00140723
9357,0.000825479,0.000825479
9358,0.00125473,0.00125473
9359,0.00115605,0.00115605
9360,0.00177253,0.00177253
9361,0.00103277,0.00103277
9362,0.00157889,0.00157889
9363,0.00145196,0.00145196
9364,0.00223928,0.00223928
9365,0.00129499,0.00129499
9366,0.0019914,0.0019914
9367,0.00183121,0.00183121
9368,0.00284029,0.00284029
9369,0.00162964,0.00162964
9370,0.00252054,0.00252054
9371,0.00232122,0.00232122
9372,0.00361958,0.00361958
9373,0.00206032,0.00206032
9374,0.00320436,0.00320436
9375,0.00295879,0.00295879
9376,0.00463583,0.00463583
9377,0.00261881,0.00261881
9378,0.00409372,0.00409372
9379,0.00379306,0.00379306
9380,0.00596659,0.00596659
9381,0.00334768,0.00334768
9382,0.00525615,0.00525615
9383,0.00488921,0.00488921
